[ELEVATION]
//Terrain MANCHESTER EAST
MANCHESTER;53.286902468;-1.943615809;1217.1;
MANCHESTER;53.292076163;-1.957271287;1211.5;
MANCHESTER;53.292071476;-1.957420577;1219.3;
MANCHESTER;53.298570421;-1.967649633;1115.2;
MANCHESTER;53.298564956;-1.967939538;1108.7;
MANCHESTER;53.309287261;-1.981300961;700.3;
MANCHESTER;53.321711579;-1.984580088;584.0;
MANCHESTER;53.326791347;-1.987481560;534.9;
MANCHESTER;53.325514975;-1.999084597;756.0;
MANCHESTER;53.318006925;-2.010435372;867.4;
MANCHESTER;53.307157843;-2.010371872;1144.5;
MANCHESTER;53.295639060;-2.006933872;1327.4;
MANCHESTER;53.290352125;-2.009340760;1470.4;
MANCHESTER;53.282964551;-2.024904135;1037.7;
MANCHESTER;53.277951111;-2.031975994;1112.9;
MANCHESTER;53.269021115;-2.030904878;1385.7;
MANCHESTER;53.257592486;-2.023030996;1431.2;
MANCHESTER;53.252210721;-2.015083381;1413.7;
MANCHESTER;53.245869998;-2.018522078;1198.6;
MANCHESTER;53.238398382;-2.026675252;1069.2;
MANCHESTER;53.230867955;-2.026739377;1221.5;
MANCHESTER;53.225117795;-2.020761323;980.1;
MANCHESTER;53.216852412;-2.017522169;1211.1;
MANCHESTER;53.216770496;-2.017367827;1214.9;
MANCHESTER;53.210410933;-2.019801385;1224.8;
MANCHESTER;53.205735910;-2.031564327;1079.4;
MANCHESTER;53.203096725;-2.041651109;940.4;
MANCHESTER;53.199693636;-2.050229998;896.6;
MANCHESTER;53.190057880;-2.049869155;649.6;
MANCHESTER;53.183874138;-2.047598830;796.8;
MANCHESTER;53.185560332;-2.034005085;1002.6;
